"Postinnumero","Postitoimipaikka","Toimipaikka_ru","Nimi","Nimi_Ru","Kunta","Kunta_nro"
"00820","HELSINKI","HELSINGFORS","Roihuvuori","Kasberget","Helsinki","091"
"00830","HELSINKI","HELSINGFORS","Tammisalo","Tammelund","Helsinki","091"
"00840","HELSINKI","HELSINGFORS","Laajasalo","Degerö","Helsinki","091"
"00850","HELSINKI","HELSINGFORS","Jollas","Jollas","Helsinki","091"
"00860","HELSINKI","HELSINGFORS","Santahamina","Sandhamn","Helsinki","091"
"00870","HELSINKI","HELSINGFORS","Etelä-Laajasalo","Södra Degerö","Helsinki","091"
"00880","HELSINKI","HELSINGFORS","Roihupellon teollisuusalue","Kasåkerns industriområde","Helsinki","091"
"00890","HELSINKI","HELSINGFORS","Itäsalmi","Östersundom","Helsinki","091"
"00900","HELSINKI","HELSINGFORS","Puotinharju","Botbyhöjden","Helsinki","091"
"00910","HELSINKI","HELSINGFORS","Puotila","Botby gård","Helsinki","091"
"00920","HELSINKI","HELSINGFORS","Myllypuro","Kvarnbäcken","Helsinki","091"
"00930","HELSINKI","HELSINGFORS","Itäkeskus-Marjaniemi","Östra centrum-Marudd","Helsinki","091"
"00940","HELSINKI","HELSINGFORS","Kontula - Vesala","Gårdsbacka - Ärvings","Helsinki","091"
"00950","HELSINKI","HELSINGFORS","Vartioharju","Botbyåsen","Helsinki","091"
"00960","HELSINKI","HELSINGFORS","Pohjois-Vuosaari","Norra  Nordsjö","Helsinki","091"
"00970","HELSINKI","HELSINGFORS","Mellunmäki","Mellungsbacka","Helsinki","091"
"00980","HELSINKI","HELSINGFORS","Etelä-Vuosaari","Södra Nordsjö","Helsinki","091"
"00990","HELSINKI","HELSINGFORS","Aurinkolahti","Solvik","Helsinki","091"
"01200","VANTAA","VANDA","Hakunila","Håkansböle","Vantaa","092"
"01230","VANTAA","VANDA","Vaarala","Fagersta","Vantaa","092"
"01260","VANTAA","VANDA","Itä-Hakkila","Östra Haxböle","Vantaa","092"
"01280","VANTAA","VANDA","Länsimäki","Västerkulla","Vantaa","092"
"01300","VANTAA","VANDA","Tikkurila","Dickursby","Vantaa","092"
"01340","VANTAA","VANDA","Leinelä","Lejle","Vantaa","092"
"01350","VANTAA","VANDA","Hiekkaharju","Sandkulla","Vantaa","092"
"01360","VANTAA","VANDA","Koivukylä-Havukoski","Björkby-Havukoski","Vantaa","092"
"01370","VANTAA","VANDA","Jokiniemi","Ånäs","Vantaa","092"
"01380","VANTAA","VANDA","Kuusikko-Hakkila","Sexan-Håkansböle","Vantaa","092"
"01390","VANTAA","VANDA","Ruskeasanta-Ilola","Rödsand-Gladas","Vantaa","092"
"01400","VANTAA","VANDA","Rekola","Räckhals","Vantaa","092"
"01420","VANTAA","VANDA","Päiväkumpu","Lövkulla","Vantaa","092"
"01450","VANTAA","VANDA","Korso","Korso","Vantaa","092"
"01480","VANTAA","VANDA","Mikkola","Mikkola","Vantaa","092"
"01490","VANTAA","VANDA","Nikinmäki","Nissbacka","Vantaa","092"
